Job,Level,Nationality,Gender,Version,Similarity_Score,Filename,JD_Filename
MKT,MGR,IT,F,V2,0.6882,MKT_MGR_IT_F_V2.txt,JD_MKT_MGR.txt
MKT,MGR,IT,F,V3,0.6066,MKT_MGR_IT_F_V3.txt,JD_MKT_MGR.txt
MKT,MGR,IT,M,V1,0.6636,MKT_MGR_IT_M_V1.txt,JD_MKT_MGR.txt
MKT,MGR,IT,M,V2,0.6903,MKT_MGR_IT_M_V2.txt,JD_MKT_MGR.txt
MKT,MGR,IT,M,V3,0.6081,MKT_MGR_IT_M_V3.txt,JD_MKT_MGR.txt
MKT,MGR,MO,F,V1,0.6735,MKT_MGR_MO_F_V1.txt,JD_MKT_MGR.txt
MKT,MGR,MO,F,V2,0.706,MKT_MGR_MO_F_V2.txt,JD_MKT_MGR.txt
MKT,MGR,MO,F,V3,0.6073,MKT_MGR_MO_F_V3.txt,JD_MKT_MGR.txt
MKT,MGR,MO,M,V1,0.6734,MKT_MGR_MO_M_V1.txt,JD_MKT_MGR.txt
MKT,MGR,MO,M,V2,0.7085,MKT_MGR_MO_M_V2.txt,JD_MKT_MGR.txt
MKT,MGR,MO,M,V3,0.6087,MKT_MGR_MO_M_V3.txt,JD_MKT_MGR.txt
MKT,MID,AL,F,V1,0.6862,MKT_MID_AL_F_V1.txt,JD_MKT_MID.txt
MKT,MID,AL,F,V2,0.5909,MKT_MID_AL_F_V2.txt,JD_MKT_MID.txt
MKT,MID,AL,F,V3,0.6038,MKT_MID_AL_F_V3.txt,JD_MKT_MID.txt
MKT,MID,AL,M,V1,0.6917,MKT_MID_AL_M_V1.txt,JD_MKT_MID.txt
MKT,MID,AL,M,V2,0.5956,MKT_MID_AL_M_V2.txt,JD_MKT_MID.txt
MKT,MID,AL,M,V3,0.607,MKT_MID_AL_M_V3.txt,JD_MKT_MID.txt
MKT,MID,BR,F,V1,0.6937,MKT_MID_BR_F_V1.txt,JD_MKT_MID.txt
MKT,MID,BR,F,V2,0.5956,MKT_MID_BR_F_V2.txt,JD_MKT_MID.txt
MKT,MID,BR,F,V3,0.6136,MKT_MID_BR_F_V3.txt,JD_MKT_MID.txt
MKT,MID,BR,M,V1,0.7007,MKT_MID_BR_M_V1.txt,JD_MKT_MID.txt
MKT,MID,BR,M,V2,0.6014,MKT_MID_BR_M_V2.txt,JD_MKT_MID.txt
MKT,MID,BR,M,V3,0.6174,MKT_MID_BR_M_V3.txt,JD_MKT_MID.txt
MKT,MID,IT,F,V1,0.6755,MKT_MID_IT_F_V1.txt,JD_MKT_MID.txt
MKT,MID,IT,F,V2,0.5814,MKT_MID_IT_F_V2.txt,JD_MKT_MID.txt
MKT,MID,IT,F,V3,0.6087,MKT_MID_IT_F_V3.txt,JD_MKT_MID.txt
MKT,MID,IT,M,V1,0.6806,MKT_MID_IT_M_V1.txt,JD_MKT_MID.txt
MKT,MID,IT,M,V2,0.5856,MKT_MID_IT_M_V2.txt,JD_MKT_MID.txt
MKT,MID,IT,M,V3,0.6122,MKT_MID_IT_M_V3.txt,JD_MKT_MID.txt
MKT,MID,MO,F,V1,0.6713,MKT_MID_MO_F_V1.txt,JD_MKT_MID.txt
MKT,MID,MO,F,V2,0.5859,MKT_MID_MO_F_V2.txt,JD_MKT_MID.txt
MKT,MID,MO,F,V3,0.6054,MKT_MID_MO_F_V3.txt,JD_MKT_MID.txt
MKT,MID,MO,M,V1,0.6756,MKT_MID_MO_M_V1.txt,JD_MKT_MID.txt
MKT,MID,MO,M,V2,0.5899,MKT_MID_MO_M_V2.txt,JD_MKT_MID.txt
MKT,MID,MO,M,V3,0.6087,MKT_MID_MO_M_V3.txt,JD_MKT_MID.txt
